"Postal code area","X coordinate in metres","Y coordinate in metres"
"07910  Valko (Loviisa)",456266,6688548
"07920  Etelä-Harju (Loviisa)",457432,6700927
"07930  Pernaja Kirkonkylä (Loviisa)",448001,6702736
"07940  Määrlahti (Loviisa)",459485,6703572
"07945  Kuggom (Loviisa)",454411,6708013
"07955  Tesjoki (Loviisa)",464350,6705707
"07960  Ahvenkoski (Loviisa)",468212,6705915
"07970  Ruotsinpyhtää Keskus (Loviisa)",467634,6710925
"07980  Kuninkaankylä (Loviisa)",469272,6715338
"07990  Ruotsinkylä-Koskisto (Loviisa)",469764,6721160
"08100  Lohja Keskus (Lohja)",327657,6685606
"08150  Keskilohja (Lohja)",338491,6681615
"08200  Ojamo (Lohja)",335486,6680622
"08350  Routio (Lohja)",336280,6688063
"08360  Kisakallio (Lohja)",336759,6690898
"08450  Hormajärvi (Lohja)",333284,6684868
"08480  Karstu (Lohja)",331167,6689373
"08500  Ventelä-Millola (Lohja)",341507,6688399
"08680  Muijala (Lohja)",345912,6687079
"08700  Virkkala (Lohja)",334485,6675122
"08800  Kirkniemi (Lohja)",327110,6680613
"09120  Karjalohja (Lohja)",318327,6684146
"09220  Sammatti (Lohja)",325149,6692064
"09430  Saukkola (Lohja)",333626,6696585
"09520  Millola (Lohja)",335804,6693393
"09630  Koisjärvi (Lohja)",340794,6697992
"09810  Nummi-Oinola (Lohja)",328710,6699972
"09930  Leppäkorpi (Lohja)",323864,6707068
"10120  Tähtelä (Ingå)",334379,6666596
"10140  Päivölä (Ingå)",338698,6667851
"10160  Degerby (Ingå)",343383,6662894
"10210  Inkoo Keskus (Ingå)",329396,6660195
"10230  Inkoo Asemanseutu (Ingå)",328200,6664536
"10250  Fagervik (Ingå)",322635,6657511
"10270  Barösund (Ingå)",326359,6651424
"10300  Karjaa Keskus (Raasepori)",315544,6666506
"10320  Bäljars (Raasepori)",313489,6662344
"10330  Pinjainen (Raasepori)",312417,6666100
"10350  Meltolan sairaala-alue (Raasepori)",322442,6668127
"10360  Mustio (Raasepori)",322852,6672771
"10380  Kaunislahti (Raasepori)",323058,6662306
"10410  Åminnefors (Raasepori)",309589,6666747
"10420  Pohjankuru (Raasepori)",301080,6669513
"10440  Bollsta (Raasepori)",306352,6670255
"10470  Fiskari (Raasepori)",309665,6671814
"10480  Antskog (Raasepori)",309939,6675805
"10520  Tenhola Kirkonkylä (Raasepori)",295510,6664252
"10570  Bromarv (Raasepori)",274837,6654315
"10600  Tammisaari Keskus (Raasepori)",309510,6654350
"10620  Tammisaari (Raasepori)",299433,6657199
"10640  Dragsvik (Raasepori)",305202,6655861
"10650  Flyet (Raasepori)",302993,6654090
"10660  Trollböle (Raasepori)",297229,6653004
"10680  Skogby (Raasepori)",292248,6649824
"10710  Snappertuna (Raasepori)",316372,6655405
"10820  Lappohja (Hanko)",288800,6646725
"10900  Hanko Keskus (Hanko)",282799,6641788
"10940  Hangonkylä (Hanko)",272521,6639963
"10960  Hanko Pohjoinen (Hanko)",275917,6640125
"11100  Riihimäki Keskus (Riihimäki)",378145,6735037
"11120  Pohjois-Riihimäki (Riihimäki)",379649,6739760
"11130  Peltosaari-Patastenmäki (Riihimäki)",381320,6734024
"11310  Taka-Kasarmi (Riihimäki)",380553,6738271
"11710  Herajoki (Riihimäki)",372691,6729825
"11910  Lasi-Kumela (Janakkala)",374630,6736982
"12100  Oitti (Hausjärvi)",392814,6740109
"12130  Mommila (Hausjärvi)",395003,6745483
"12170  Hietoinen (Hausjärvi)",393522,6753943
"12210  Hausjärvi kk (Hausjärvi)",387200,6740376
"12240  Hikiä (Hausjärvi)",388320,6735227
"12310  Ryttylä (Hausjärvi)",377452,6743867
"12350  Turkhauta (Hausjärvi)",383788,6744466
"12380  Leppäkoski (Janakkala)",375700,6749145
"12400  Tervakoski (Janakkala)",369994,6744850
"12450  Vähikkälä (Janakkala)",363913,6741819
"12520  Kormu (Loppi)",371867,6736618
"12540  Launonen (Loppi)",367842,6736021
"12600  Läyliäinen (Loppi)",361127,6723169
"12630  Sajaniemi (Loppi)",362584,6729844
"12640  Joentaka (Loppi)",364459,6733703
"12700  Loppi kk (Loppi)",358547,6735408
"12750  Pilpala (Loppi)",347078,6727113
"12820  Räyskälä (Loppi)",342083,6735605
"12920  Topeno (Loppi)",351441,6737083
"12950  Vojakkala-Eerolankulma (Loppi)",342835,6742064
"13100  Hämeenlinna Keskus (Hämeenlinna)",362574,6764528
"13110  Kantola (Hämeenlinna)",364380,6763310
"13130  Kauriala (Hämeenlinna)",360841,6765781
"13200  Keinusaari (Hämeenlinna)",363673,6765324
"13210  Hätilä (Hämeenlinna)",368926,6769620
"13220  Sairio (Hämeenlinna)",362687,6767236
"13250  Katuma (Hämeenlinna)",365567,6763615
"13270  Ruununmylly (Hämeenlinna)",371108,6766342
